indice,Alfa,CotaError,MAX_ITER,iteracion,FuncionCapaOculta,FuncionCapaSalida,CantidadCorrectosTraining,PorcentajeCorrectosTraining,CantidadCorrectosTest,PorcentajeCorrectosTest
1,"0,3","0,000001",5000,5000,tansig,tansig,159,"0,9938",33,"0,825"
2,"0,3","0,000001",5000,5000,tansig,tansig,133,"0,8313",27,"0,675"
3,"0,3","0,000001",5000,5000,tansig,tansig,144,"0,9",32,"0,8"
4,"0,3","0,000001",5000,5000,tansig,tansig,132,"0,825",32,"0,8"
5,"0,3","0,000001",5000,5000,tansig,tansig,148,"0,925",29,"0,725"
1,"0,3","0,000001",5000,5000,tansig,logsig,114,"0,7125",26,"0,65"
2,"0,3","0,000001",5000,5000,tansig,logsig,160,1,39,"0,975"
3,"0,3","0,000001",5000,5000,tansig,logsig,131,"0,8187",30,"0,75"
4,"0,3","0,000001",5000,5000,tansig,logsig,130,"0,8125",29,"0,725"
5,"0,3","0,000001",5000,5000,tansig,logsig,133,"0,8313",31,"0,775"
1,"0,3","0,000001",5000,5000,logsig,logsig,160,1,39,"0,975"
2,"0,3","0,000001",5000,5000,logsig,logsig,137,"0,8562",28,"0,7"
3,"0,3","0,000001",5000,5000,logsig,logsig,132,"0,825",35,"0,875"
4,"0,3","0,000001",5000,5000,logsig,logsig,160,1,38,"0,95"
5,"0,3","0,000001",5000,5000,logsig,logsig,160,1,40,"1,0000"
1,"0,3","0,000001",5000,5000,logsig,tansig,160,1,38,"0,95"
2,"0,3","0,000001",5000,5000,logsig,tansig,160,1,39,"0,975"
3,"0,3","0,000001",5000,5000,logsig,tansig,132,"0,825",31,"0,775"
4,"0,3","0,000001",5000,5000,logsig,tansig,122,"0,7625",30,"0,75"
5,"0,3","0,000001",5000,5000,logsig,tansig,160,1,39,"0,975"
